Id,Title,Year,Poster,Rating,Plot,,,,,,
3646,Big Momma's House,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMjdlYmUtNjQ1Zi00YTg3LTliNTgtZmNkOTRmYzEzYTMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.1,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",,,,,,
3649,American Gigolo,1980,https://images-na.ssl-images-amazon.com/images/M/MV5BYzJkZjE1ZjUtNTUyNy00ODk1LTgzYzUtY2VmZjhlODM5OWYwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,6.2,"A Los Angeles male escort, who mostly caters to an older female client??le, is accused of a murder which he did not commit.",,,,,,
3653,"Endless Summer, The",1966,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzODQ1Njg4M15BMl5BanBnXkFtZTgwODIyOTcwMjE@._V1_SX300.jpg,7.8,"The crown jewel to ten years of Bruce Brown surfing documentaries. Brown follows two young surfers around the world in search of the perfect wave, and ends up finding quite a few in addition to some colorful local characters.",,,,,,
3654,"Guns of Navarone, The",1961,https://images-na.ssl-images-amazon.com/images/M/MV5BMDIyNDA3NGMtNWFmMi00NDRlLWEzMTEtOGIxMDZhZmRmYjJlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,7.6,A British team is sent to cross occupied Greek territory and destroy the massive German gun emplacement that commands a key sea channel.,,,,,,
3655,Blow-Out,1973,https://images-na.ssl-images-amazon.com/images/M/MV5BNTA2NDI3MjkwMl5BMl5BanBnXkFtZTgwNzMzNzg5NjE@._V1_SX300.jpg,7.2,"A group of men hire some prostitutes and go to a villa in the countryside. There, they engage in group sex and resolve to eat themselves to death.",,,,,,
3656,Lured,1947,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MjQ4MzEzNV5BMl5BanBnXkFtZTcwMjYzMjY3MQ@@._V1_SX300.jpg,7,A serial killer in London is murdering young women he meets through the personal columns of newspapers. He announces each of his murders to the police by sending them a cryptic poem. After ...,,,,,,
3657,Pandora and the Flying Dutchman,1951,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5OTQ3NzQ0M15BMl5BanBnXkFtZTYwNzk2MTc4._V1_SX300.jpg,7.1,A seductive woman falls in love with a mysterious ship's captain.,,,,,,
3658,Quatermass and the Pit,1967,https://images-na.ssl-images-amazon.com/images/M/MV5BNzdiMGEyZjItOWE3ZS00NmY3LWI3MDctZmVhOTljZWNkNzBmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg,7.1,"A mysterious artifact is unearthed in London, and famous scientist Bernard Quatermass is called into to divine its origins and explain its strange effects on people.",,,,,,
3659,Quatermass 2,1957,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MDA5MzAzM15BMl5BanBnXkFtZTcwMDM2MzkxMQ@@._V1_SX300.jpg,7,"Professor Quatermass, trying to gather support for his Lunar colonisation project, is intrigued by mysterious traces that have been showing up.",,,,,,
3660,Puppet Master,1989,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMTBlNjQtMTlmOC00NDljLWI0YjItMjJhNzg3MzFhY2MxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.7,"Psychics find themselves plotted against by a former colleague, who committed suicide after discovering animated, murderous puppets.",,,,,,
3661,Puppet Master II,1991,https://images-na.ssl-images-amazon.com/images/M/MV5BYjQyM2ZkYjktOTk2Zi00Zjc1LTk1NTYtYTY2YmI5M2IyYzAzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.5,"The puppets return and hunt paranormal researchers in an attempt to take their brain fluid for their master, Andre Toulon.",,,,,,
3662,Puppet Master III: Toulon's Revenge,1991,https://images-na.ssl-images-amazon.com/images/M/MV5BZWY1Y2E1OTQtZDYyMC00ZTY3LWI1MTQtYTc1NWNjYmFiYzdiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.1,A puppeteer's ability to bring inanimate objects to life attracts the attention of the Nazis during World War II.,,,,,,
3663,Puppet Master 4,1993,https://images-na.ssl-images-amazon.com/images/M/MV5BYTMyOTVmYzUtMDM3Ni00NWVhLTg0ODItMGViYjkyYmMzZmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.3,"A young scientist and his friends, upon being attacked by demons, are protected by a gang of animated puppets.",,,,,,
3664,Puppet Master 5: The Final Chapter,1994,https://images-na.ssl-images-amazon.com/images/M/MV5BYjc4Y2I5MmItMWYyZC00OWZlLWI5ZGEtYmI4MjQ4NWQwNWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.2,The puppets battle their most powerful enemy yet as they protect their new master from the demon God that created the Secret of Life.,,,,,,
3665,Curse of the Puppet Master,1998,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg3MmM3YzYtMWJkMC00NzI1LTljNjItNzMwZjhmZDUxNzBjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,3.9,A scientist attempts to master the art of transferring people's souls into puppets.,,,,,,
3668,Romeo and Juliet,1968,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMjIzOTcwOF5BMl5BanBnXkFtZTgwNzk2NjYxMTE@._V1_SX300.jpg,7.6,"When two young members of feuding families meet, forbidden love ensues.",,,,,,
3669,Stay Tuned,1992,https://images-na.ssl-images-amazon.com/images/M/MV5BN2JhNTFjMGEtNzczZi00ZTljLTlkZjQtYWVlNjcxNDBmNGU4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,6.1,A husband and wife are sucked into a hellish television set and have to survive a gauntlet of twisted versions of shows they find themselves in.,,,,,,
3671,Blazing Saddles,1974,https://images-na.ssl-images-amazon.com/images/M/MV5BY2IzYWI0NjUtMjE1Ni00YmRjLWIzMjItODM5YjQ1MjlmN2VkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.8,"In order to ruin a western town, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary.",,,,,,
3672,Benji,1974,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODM2OTM3M15BMl5BanBnXkFtZTcwNDA1NTYyMQ@@._V1_SX300.jpg,6.1,A stray dog saves two kidnapped children.,,,,,,
3673,Benji the Hunted,1987,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MDU1MTY5Nl5BMl5BanBnXkFtZTcwNTkxODMzMQ@@._V1_SX300.jpg,6.3,Benji is left in the wilderness after an accident. Can he survive?,,,,,,
3674,For the Love of Benji,1977,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NzgzMDIwNV5BMl5BanBnXkFtZTgwNTUzNjIxMzE@._V1_SX300.jpg,5.9,"Benji sniffs out a bogus CIA agent in Athens, Greece.",,,,,,
3675,White Christmas,1954,https://images-na.ssl-images-amazon.com/images/M/MV5BYjI0ZTk0ZjQtZTMzOS00NDdmLTk0YzUtZTQ4NGRkNWFhZTkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.6,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,,,,,,
3676,Eraserhead,1977,https://images-na.ssl-images-amazon.com/images/M/MV5BMDExYzg5YjQtMzE0Yy00OWJjLThiZTctMWI5MzhjM2RmNjA4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.4,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",,,,,,
3677,Baraka,1992,https://images-na.ssl-images-amazon.com/images/M/MV5BNWZiYjE2Y2UtMmQ2My00ZDBjLTk4ZTUtN2FlMzc4OWFiMzdjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,8.6,A collection of expertly photographed scenes of human life and religion.,,,,,,
3678,"Man with the Golden Arm, The",1955,https://images-na.ssl-images-amazon.com/images/M/MV5BOTRkYTliMTUtZDg5Ni00YzFlLWE0MDUtZTUwODU3OTU2ZTYyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.5,A strung-out junkie deals with a demoralizing drug addiction while his crippled wife and card sharks pull him down.,,,,,,
3679,"Decline of Western Civilization, The",1981,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTg3MzUxMl5BMl5BanBnXkFtZTcwMDg1OTM2MQ@@._V1_SX300.jpg,7.7,"The Los Angeles punk music scene circa 1980 is the focus of this film. With Alice Bag Band, Black Flag, Catholic Discipline, Circle Jerks, Fear, Germs, and X.",,,,,,
3680,"Decline of Western Civilization Part II: The Metal Years, The",1988,https://images-na.ssl-images-amazon.com/images/M/MV5BZGQwODQ0NmYtN2JlYy00YzA2LThlMGEtMDk1MWMwZWM5MGIxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,7.3,"Documentary showcase, what life was like for the music artists living during the Los Angeles Heavy Metal scene in the mid and late 1980s.",,,,,,
3681,For a Few Dollars More,1965,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMjIzOTEzMF5BMl5BanBnXkFtZTcwMTUzNTk3NA@@._V1_SX300.jpg,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,,,,,,
3682,Magnum Force,1973,https://images-na.ssl-images-amazon.com/images/M/MV5BOGIyM2IzZjMtNWMxNy00ZGMwLWFmMmEtMzNkODMxZTU2YjcwXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,7.2,Dirty Harry is on the trail of vigilante cops who are not above going beyond the law to kill the city's undesirables.,,,,,,
3683,Blood Simple,1984,https://images-na.ssl-images-amazon.com/images/M/MV5BZWVjZjE1OTQtYjIyNC00OTU2LThjMjAtMWYwZTU5NzVhODA0L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,7.7,"A rich but jealous man hires a private investigator to kill his cheating wife and her new man. But, when blood is involved, nothing is simple.",,,,,,
3684,"Fabulous Baker Boys, The",1989,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VkNTJmZDAtOTdlNy00MDE5LTk3MmQtOWZjYjM0ZjUxMmVkXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,6.8,"The lives of two struggling musicians, who happen to be brothers, inevitably change when they team up with a beautiful, up-and-coming singer.",,,,,,
3685,Prizzi's Honor,1985,https://images-na.ssl-images-amazon.com/images/M/MV5BZmVmOGIzNDUtODYwZi00NWI2LTlhOGQtNmU1ZjU2OGFiOTRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,6.8,A professional hit man and hit woman fall in love.,,,,,,
3686,Flatliners,1990,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDE3NTM3Ml5BMl5BanBnXkFtZTgwNzgwNTg4NjE@._V1_SX300.jpg,6.6,"Four Medical students experiment on near death"" experiences that involve past tragedies until the dark consequences begin to jeopardize their lives.""",,,,,,
3687,Light Years,1988,https://images-na.ssl-images-amazon.com/images/M/MV5BYjMzNTU2ODktNGQ1NC00MDJjLTk5MWUtZmFlYWRiNDUxNGUwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.1,"An evil force from a 1000 years in the future begins to destroy an idyllic paradise, where the citizens are in perfect harmony with nature.",,,,,,
3688,Porky's,1982,https://images-na.ssl-images-amazon.com/images/M/MV5BZTI1MWJhNDgtNDdmNi00ZTI3LTk0NmQtODUyNzMyNmY3Zjk5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,6.2,"In 1954, a group of Florida high schoolers seek out to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",,,,,,
3689,Porky's II: The Next Day,1983,https://images-na.ssl-images-amazon.com/images/M/MV5BZmZhNDU2ZjgtOTAwOS00NWRjLTkwNWUtNTBkNjM3NTZjNjY3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,4.9,The naughty high schoolers of Angel Beach High now seek revenge on a group of KKK religious fanatics and corrupt politicians who want to shut down their Shakespeare production after they cast a Seminole transfer student in the lead.,,,,,,
3690,Porky's Revenge,1985,https://images-na.ssl-images-amazon.com/images/M/MV5BYjBiMDI1NDctMTVkMy00M2VkLWIyZDYtN2FmZGYxY2QwM2U3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,4.7,"As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game because he's betting on the opposing team.",,,,,,
3691,Private School,1983,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU4MzIwNjAxN15BMl5BanBnXkFtZTcwMzA0MDcyMQ@@._V1_SX300.jpg,5.2,"Christine (Phoebe Cates), a student at an exclusive all-girls private school, is in love with Jim, who attends an academy for boys nearby. Christine's arch rival Jordan also has her eye on ...",,,,,,
3692,Class of Nuke 'Em High,1986,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5OTY5NTYzOF5BMl5BanBnXkFtZTcwNjk2MDQyMQ@@._V1_SX300.jpg,5.6,The pupils at a high school next to a nuclear power plant start acting and looking strange after buying contaminated drugs from a plant worker.,,,,,,
3693,"Toxic Avenger, The",1985,https://images-na.ssl-images-amazon.com/images/M/MV5BNzViNmQ5MTYtMmI4Yy00N2Y2LTg4NWUtYWU3MThkMTVjNjk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.2,Tromaville has a monstrous new hero. The Toxic Avenger is born when meek mop boy Melvin falls into a vat of toxic waste. Now evildoers will have a lot to lose.,,,,,,
3694,"Toxic Avenger, Part II, The",1989,https://images-na.ssl-images-amazon.com/images/M/MV5BODhiNTljYTctMmIzZC00ZGVkLTk2NmItN2RjMzY3ZTYyNDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.1,"The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation.",,,,,,
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The",1989,https://images-na.ssl-images-amazon.com/images/M/MV5BNjVlNzFjMGItMTEwYy00OTc0LWFmY2ItM2U0MmQyYWI5Njk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,4.3,"Toxie finds he has nothing to do as a superhero, as he has ridden his city of evil. He decides to go to work for a major corporation, which he discovers may be the evilest of all his adversaries.",,,,,,
3696,Night of the Creeps,1986,https://images-na.ssl-images-amazon.com/images/M/MV5BNTQyMWNhYTQtMzgwYi00MTdhLTk1M2QtNDJmOWM1YjY4MDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.8,"Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them.",,,,,,
3697,Predator 2,1990,https://images-na.ssl-images-amazon.com/images/M/MV5BNThjZjI4NTgtZDk4Mi00ZjI1LWExZGUtNTRkOWY1ZTY3M2FlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.2,"Amidst a territorial gang war in 1997, a sophisticated alien hunter stalks the citizens of Los Angeles and the only man between him and his prey is veteran L.A.P.D. officer, Lieutenant Mike Harrigan.",,,,,,
3698,"Running Man, The",1987,https://images-na.ssl-images-amazon.com/images/M/MV5BMWU4NzA2OWYtNGQ0MS00YWNkLTg4M2YtZjlkZmY1YmJjMDE4XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,6.6,A wrongly convicted man must try to survive a public execution gauntlet staged as a game show.,,,,,,
3699,Starman,1984,https://images-na.ssl-images-amazon.com/images/M/MV5BODg5ODI0NzM5M15BMl5BanBnXkFtZTgwNDk5MjQxMDE@._V1_SX300.jpg,7,An alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.,,,,,,
3700,"Brother from Another Planet, The",1984,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2NjM4NDg1MV5BMl5BanBnXkFtZTgwOTM1MzQxMDE@._V1_SX300.jpg,6.8,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,,,,,,
3701,Alien Nation,1988,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5NjYxNjM5MV5BMl5BanBnXkFtZTcwNDk4MTU1MQ@@._V1_SX300.jpg,6.3,"A few years from now, Earth will have the first contact with an alien civilization. These aliens, known as Newcomers, slowly begin to be integrated into human society after years of quarantine.",,,,,,
3702,Mad Max,1979,https://images-na.ssl-images-amazon.com/images/M/MV5BNDkzMWIwZGItYTgyNy00ZTU0LWE0NGMtYjAyNzUyMjE2MGE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang.",,,,,,
3703,"Road Warrior, The",1981,https://images-na.ssl-images-amazon.com/images/M/MV5BN2VlNjNhZWQtMTY2OC00Y2E1LWJkNGUtMDU4M2ViNzliMGYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.6,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline rich, community escape a band of bandits.",,,,,,
3704,Mad Max Beyond Thunderdome,1985,https://images-na.ssl-images-amazon.com/images/M/MV5BNTcxYjQ0YTgtZTIzYi00OWQ4LWI4NmQtZDUzMmQ1YzA1OGRhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.2,"After being exiled from the most advanced town in post apocalyptic Australia, a drifter travels with a group of abandoned children to rebel against the town's queen.",,,,,,
3705,Bird on a Wire,1990,https://images-na.ssl-images-amazon.com/images/M/MV5BNzU5MTQyNzEwNV5BMl5BanBnXkFtZTgwMTgwNTg4NjE@._V1_SX300.jpg,5.9,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.,,,,,,
3706,Angel Heart,1987,https://images-na.ssl-images-amazon.com/images/M/MV5BZmQ3Mzg3YjgtNTA1Zi00ODgyLTkyZGUtYTE5NDA5ZmI4NjI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,7.3,Harry Angel is a private investigator. He is hired by a man who calls himself Louis Cyphre to track down a singer called Johnny Favorite. But the investigation takes an unexpected and somber turn.,,,,,,
3707,9 1/2 Weeks,1986,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NDY1NjA4MV5BMl5BanBnXkFtZTYwMzU0Mzk4._V1_SX300.jpg,5.9,"A woman gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",,,,,,
3708,Firestarter,1984,https://images-na.ssl-images-amazon.com/images/M/MV5BNzFiZTQ4ZjQtNjgyZi00Yjc0LWI2Y2YtNjk0YzM3NWEwYjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6,A couple who participated in a potent medical experiment gain telekinetic ability and then have a child who is pyrokinetic.,,,,,,
3709,Sleepwalkers,1992,https://images-na.ssl-images-amazon.com/images/M/MV5BNWY4N2ViZDAtMGU0MS00NDliLWE1NjktN2UyNGEyZjA0YzNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.2,A mother-and-son team of strange supernatural creatures move to a small town to seek out a young virgin to feed on.,,,,,,
3710,Action Jackson,1988,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0OTI5NzgwN15BMl5BanBnXkFtZTcwNDM5MTYxMQ@@._V1_SX300.jpg,5.2,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.,,,,,,
3712,Soapdish,1991,https://images-na.ssl-images-amazon.com/images/M/MV5BZjc1Y2ZlNDktNmQzOC00ZTA0LThlNTAtMjNlODVmMzA1MzQ4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,6.5,"An ambitious TV soap actress connives with her producer to scuttle the career of the show's long-time star, but nothing works as they plan.",,,,,,
3713,"Long Walk Home, The",1990,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4MDI3NTU1OV5BMl5BanBnXkFtZTcwODQyNDA0MQ@@._V1_SX300.jpg,7.3,"Two women, black and white, in 1955 Montgomery Alabama, must decide what they are going to do in response to the famous bus boycott lead by Martin Luther King.",,,,,,
3714,Clara's Heart,1988,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTI1MjIwMl5BMl5BanBnXkFtZTYwMTY5MTk5._V1_SX300.jpg,6.3,David is a teenager whose parents are in a deteriorating marriage after their infant daughter dies. Clara is a chambermaid at a Jamaican resort who's hired to be a housekeeper. She and ...,,,,,,
3715,Burglar,1987,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMjM3Njk2NV5BMl5BanBnXkFtZTcwOTk5NjAwMQ@@._V1_SX300.jpg,5,"Bernice Bernie"" Rhodenbarr is a burglar by trade", and she runs a bookstore as well. Her friend Carl Hefler is a dog groomer. After a successful burglary," it's discovered that a dead body ...""",,,,
3716,Fatal Beauty,1987,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0NTYyNzkwMDBeQTJeQWpwZ15BbWU3MDQwNzQzMjE@._V1_SX300.jpg,5.3,"Rita Rizzoli is a narcotics police officer with a plethora of disguises. When a drug shipment is hijacked, the thieves don't know that the drug is unusually pure and packs of Fatal Beauty""...""",,,,,,
3717,Gone in 60 Seconds,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzExNDEwN15BMl5BanBnXkFtZTYwODMxMzg2._V1_SX300.jpg,6.5,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,,,,,,
3718,American Pimp,1999,https://images-na.ssl-images-amazon.com/images/M/MV5BNzE5Nzg3NzY2MF5BMl5BanBnXkFtZTcwNTMwMTEzMQ@@._V1_SX300.jpg,6.6,"Street pimps, all of them African-American, discuss their lives and work: getting started, being flamboyant, pimping in various U.S. cities, bringing a woman into their group, taking a ...",,,,,,
3719,Love's Labour's Lost,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjYzMDY4N15BMl5BanBnXkFtZTcwODU5ODEyMQ@@._V1_SX300.jpg,6.1,"An update of the classic Shakespeare story, director Kenneth Branagh shot this movie like a classic 30s musical. The film tells the story of four best friends who swear off love.",,,,,,
3720,Sunshine,1999,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzExMjY2MV5BMl5BanBnXkFtZTcwODg1NDEyMQ@@._V1_SX300.jpg,7.5,The fate of a Hungarian Jewish family throughout the 20th century.,,,,,,
3721,Trixie,2000,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MTk4OTQzNF5BMl5BanBnXkFtZTcwMDIwODIyMQ@@._V1_SX300.jpg,5,"An eccentric, unconventional woman whose naive aspirations to rise from her job as a security guard to full-fledged private eye lead her into a tangled PL: mess.",,,,,,
3723,Hamlet,1990,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5OTgwNTc3M15BMl5BanBnXkFtZTgwNDY1NTk4NjE@._V1_SX300.jpg,6.8,"Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",,,,,,
3724,Coming Home,1978,https://images-na.ssl-images-amazon.com/images/M/MV5BNTZmMmE4YWQtNjhkYi00NGM0LWI4YTQtZjk2ZTJkNWE1MjVjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,7.3,A woman whose husband is fighting in Vietnam falls in love with another man who suffered a paralyzing combat injury there.,,,,,,
3725,American Pop,1981,https://images-na.ssl-images-amazon.com/images/M/MV5BNDIwZTcxMGMtN2U5Mi00ZDU3LWE1ZTktMjllZjNhNTFiNDQwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,7.2,The story of four generations of a Russian Jewish immigrant family of musicians whose careers parallel the history of American popular music in the 20th century.,,,,,,
3726,Assault on Precinct 13,1976,https://images-na.ssl-images-amazon.com/images/M/MV5BYzdkYjZiYjEtN2UwZS00NGQyLTg2Y2MtZWYyMTAxMGEwZjBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.4,A police sergeant and an unlikely band of criminals defend a closing LA precinct office on New Years Eve against an army of gang members.,,,,,,
3727,Near Dark,1987,https://images-na.ssl-images-amazon.com/images/M/MV5BODdkYzVhMmQtYmJhMy00MGMxLTk2ZmEtMmE0YTEwMWNhOTI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7,A small-town farmer's son reluctantly joins a traveling group of vampires after he is turned by a beautiful drifter.,,,,,,
3728,One False Move,1992,https://images-na.ssl-images-amazon.com/images/M/MV5BZDBlNDcwN2QtODBhNy00OGI4LTkxZDUtMTEyMjllMTc4NmQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.2,A small town police chief awaits the arrival of a gang of killers.,,,,,,
3729,Shaft,1971,https://images-na.ssl-images-amazon.com/images/M/MV5BMGY2MDFlMTAtODU3NS00MDkxLThiMTItMTBlMDliNmMwOGQxXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,6.6,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.,,,,,,
3730,"Conversation, The",1974,https://images-na.ssl-images-amazon.com/images/M/MV5BYTQxYWJlYTgtMTk5MS00ZGFiLWI5MWItYjhkNjM3YmUyNjYxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,7.9,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple he is spying on will be murdered.",,,,,,
3731,Cutter's Way,1981,https://images-na.ssl-images-amazon.com/images/M/MV5BZjdlMzZkMTktYzhiOS00YTIwLTkxYTItMTFkZGZjMzMwMzQ3XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,6.9,"Richard spots a man dumping a body, and decides to expose the man he thinks is the culprit with his friend Alex Cutter.",,,,,,
3732,"Fury, The",1978,https://images-na.ssl-images-amazon.com/images/M/MV5BNWUwNzYxYWEtYzM4OS00MTg0LWIwZjktMzc3MWUyZTQ0MjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.4,A government agent is determined to come to his son's rescue when a sinister official kidnaps him to harbor his extremely powerful psychic abilities.,,,,,,
3733,"Paper Chase, The",1973,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MjQ0MTI4Nl5BMl5BanBnXkFtZTcwMzkxNzUxMQ@@._V1_SX300.jpg,7.2,A first-year law student at Harvard Law School struggles with balancing his coursework and his relationship with the daughter of his sternest professor.,,,,,,
3734,Prince of the City,1981,https://images-na.ssl-images-amazon.com/images/M/MV5BMTZmZWM0NGMtMGQzZi00NGY4LTg2ZTYtN2FjNjRiMWM2OTg2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.7,"A New York City narcotics detective reluctantly agrees to cooperate with a special commission investigating police corruption. However, he soon discovers that he's in over his head, and nobody can be trusted.",,,,,,
3735,Serpico,1973,https://images-na.ssl-images-amazon.com/images/M/MV5BYTU4ZTI0NzAtYzMwNi00YmMxLThmZWItNTY5NzgyMDAwYWVhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,7.8,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,,,,,,
